asset_id,location_id,original_latitude,original_longitude,facility_name,risk_category,suburb
1,207599,-37.7838388,145.3525525,3C Kidz Care - Edinburgh College,CAT 3,Lilydale
2,284431,-37.7969199,145.3601868,3C Kidz Care MECS,CAT 3,Montrose
3,444490,-37.0517301,143.731823,A G Leech Kindergarten,CAT 3,Maryborough
4,322953,-38.2975007,145.1850163,Advance College of Education Incorporated - Hastings Hub,CAT 3,Hastings
5,409245,-36.6618283,144.3345358,After The Bell Aus- Huntly Primary School,CAT 3,Huntly
6,431639,-36.7351988,144.1356861,After The Bell Aus- Marong Primary School,CAT 3,Marong
7,3473,-38.456597,144.1099002,Aireys Inlet Primary School,CAT 2,Aireys Inlet
8,104874,-37.4477349,144.5315813,Alice Miller School,CAT 2,Macedon
9,122999,-37.3720541,144.6851863,Alice Miller School - Candlebark,CAT 3,Romsey
10,289169,-37.781972,145.6109684,All Saints Preschool Yarra Junction Inc,CAT 3,Yarra Junction
11,397955,-36.7351911,146.9630225,Alpine View Children's Centre,CAT 3,Bright
12,331107,-37.9503594,147.6585617,Al-Taqwa Camp - Camp,CAT 3,Banksia Penninsula
13,409388,-37.1843787,143.3992987,Amphitheatre Primary School,CAT 3,Amphitheatre
14,355727,-37.9126423,144.2547091,Anakie Primary School,CAT 3,Anakie
15,355727,-37.9126423,144.2547091,Anakie Primary School Council Out of School Care,CAT 3,Anakie
16,254557,-37.7491623,145.2079645,Andersons Creek Primary School,CAT 1,Warrandyte
17,254557,-37.7491623,145.2079645,Andersons Creek PS TheirCare,CAT 1,Warrandyte
18,355094,-38.4100332,144.1839239,Anglesea Community House,CAT 3,Anglesea
19,355094,-38.4096504,144.1851872,Anglesea Kindergarten,CAT 3,Anglesea
20,355026,-38.3958385,144.1908522,Anglesea Primary School,CAT 2,Anglesea
21,355026,-38.3958385,144.1908522,Anglesea PS TheirCare,CAT 2,Anglesea
22,274006,-37.8151851,145.2062098,Antonio Park Primary School,CAT 3,Mitcham
23,452240,-36.9740814,141.0816085,Apsley Primary School,CAT 3,Apsley
24,445398,-37.2748655,142.9404223,Ararat North Kinder Care,CAT 3,Ararat
25,445398,-37.2748655,142.9404223,Ararat North Primary School,CAT 3,Ararat
26,130918,-37.578879,145.2025972,Arthurs Creek Primary School,CAT 3,Arthurs Creek
27,277794,-38.0452931,145.6763573,Ashwood School - Garfield North Outdoor Education Centre,CAT 1,Garfield North
28,74819,-36.7771637,144.3036589,Aspire Early Education and Kindergarten Bendigo,CAT 3,Kennington
29,403908,-36.8039442,144.3608238,Assisi Kindergarten Strathfieldsaye,CAT 3,Strathfieldsaye
30,446591,-37.4207636,143.8863107,Aussie Kindies Early Learning Creswick,CAT 3,Creswick
31,347254,-37.9146804,145.4750055,Avonsleigh Kindergarten,CAT 3,Avonsleigh
32,147372,-37.6802,145.5332723,Badger Creek CommunityOSH,CAT 3,Badger Creek
33,147372,-37.6805745,145.5322225,Badger Creek Preschool,CAT 3,Healesville
34,147372,-37.6801999,145.5332723,Badger Creek Primary School,CAT 3,Healesville
35,296081,-38.2747026,145.0314953,Balcombe Grammar School,CAT 3,Mt Martha
36,296081,-38.2723277,145.0287557,Balcombe Preschool,CAT 3,Mount Martha
37,180510,-38.7364395,143.3040894,Ballarat Clarendon College - Yuulong Campus,CAT 2,Yuulong
38,448712,-37.640756,143.8617949,Ballarat Rudolf Steiner Kindergarten,CAT 3,Mount Helen
39,448712,-37.640756,143.8617949,Ballarat Steiner School,CAT 3,Mt Helen
40,270132,-37.7953859,144.4147326,Balliang East Primary School,CAT 3,Balliang East
41,462556,-38.3741508,145.1254217,Balnarring Community Child Care Incorporated,CAT 3,Balnarring
42,462556,-38.3753568,145.1241832,Balnarring Preschool,CAT 3,Balnarring
43,462556,-38.3761006,145.1227773,Balnarring Primary School,CAT 3,Balnarring
44,209937,-36.1795232,146.9468082,Baranduda Community Centre,CAT 3,Baranduda
45,209937,-36.1802838,146.9485429,Baranduda Primary School,CAT 3,Baranduda
46,209937,-36.1802838,146.9485429,Baranduda PS TheirCare,CAT 3,Baranduda
47,329730,-38.2944716,146.1058371,Baringa Special School - Baringa Homestead,CAT 3,Childers
48,167549,-36.0160252,144.9609765,Barmah Occasional Care,CAT 3,Barmah Town
49,167549,-36.0160252,144.9609765,Barmah Outreach Kindergarten,CAT 3,Barmah Town
50,214922,-36.1011105,146.6754035,Barnawartha Out of School Hours Care,CAT 3,Barnawartha
51,214922,-36.1011105,146.6754035,Barnawartha Primary School,CAT 3,Barnawartha
52,375320,-38.1781231,145.5701367,Bayles Kindergarten,CAT 3,Bayles
53,324158,-38.1775753,145.1657428,Bayside Christian College,CAT 3,Langwarrin South
54,324158,-38.1774595,145.1626915,Bayside Christian College Early Learning Centre,CAT 3,Langwarrin South
55,2581,-37.9956131,145.4153746,Beaconsfield Upper Primary School,CAT 2,Beaconsfield Upper
56,2581,-37.9956131,145.4153746,Beaconsfield Upper PS TheirCare,CAT 2,Beaconsfield Upper
57,439309,-36.7898181,143.5518266,Bealiba Primary School,CAT 3,Bealiba
58,388774,-36.371548,146.6952981,Beechworth Community Early Years Learning Centre INC,CAT 3,Beechworth
59,388774,-36.3715746,146.695533,Beechworth Kindergarten Inc.,CAT 3,Beechworth
60,388773,-36.3673335,146.6927728,Beechworth Montessori,CAT 3,Beechworth
61,388773,-36.3673335,146.6927728,Beechworth Montessori School,CAT 3,Beechworth
62,388276,-36.3552503,146.6932209,Beechworth Primary School,CAT 3,Beechworth
63,388276,-36.3552503,146.6932209,Beechworth PS TheirCare,CAT 3,Beechworth
64,388276,-36.3475703,146.6914244,Beechworth Secondary College,CAT 3,Beechworth
65,207614,-37.9190864,145.3458862,Belgrave Heights Christian School,CAT 3,Belgrave Heights
66,207614,-37.9190864,145.3458862,Belgrave Heights Christian School Early Learning Centre,CAT 3,Belgrave Heights
67,207613,-37.9107581,145.3549706,Belgrave Preschool,CAT 3,Belgrave
68,286320,-37.9307486,145.3582054,Belgrave South OSHClub,CAT 3,Belgrave South
69,286320,-37.9307486,145.3582054,Belgrave South Primary School,CAT 3,Belgrave South
70,391197,-38.3334967,144.2623629,Bellbrae Primary School,CAT 3,Bellbrae
71,391197,-38.3334967,144.2623629,Bellbrae PS TheirCare,CAT 3,Bellbrae
72,178388,-38.6677426,143.6959726,Belmont High School - Tanybryn Camp,CAT 1,Tanybryn
73,88320,-36.4762513,145.9478567,Benalla P-12 College - Lake Nillacoote Camp,CAT 3,Benalla
74,152344,-36.7287347,144.2793294,Bendigo and District Aboriginal Cooperative Kindergarten,CAT 2,North Bendigo
75,390178,-36.3804483,145.4063685,Berry Street Victoria Inc - Berry Street School - Shepparton Campus,CAT 3,Shepparton
76,206665,-36.1205087,147.0954444,Bethanga Primary School,CAT 3,Bethanga
77,282609,-35.9446451,142.4185471,Beulah Outreach Preschool,CAT 3,Beulah
78,282609,-35.9446451,142.4185471,Beulah Primary School,CAT 3,Beulah
79,33078,-38.2814468,141.6141043,Big Childcare - Bolwarra PS OSHC,CAT 3,Bolwarra
80,183554,-36.8303672,144.242139,Big Hill Primary School,CAT 3,Big Hill
81,183554,-36.8303672,144.242139,Big Hill PS TheirCare,CAT 3,Big Hill
82,208240,-37.8256344,145.3381467,Billanook Primary School,CAT 3,Montrose
83,208240,-37.8256344,145.3381467,Billanook PS TheirCare,CAT 3,Montrose
84,289160,-37.7796002,145.369269,Birmingham Primary School,CAT 3,Mount Evelyn
85,289160,-37.7796002,145.369269,Birmingham PS TheirCare,CAT 3,Mount Evelyn
86,292471,-37.8294956,145.1659221,Blackburn Lake Primary School,CAT 3,Blackburn
87,295513,-38.2180158,145.3393107,Blind Bight Community Centre,CAT 3,Blind Bight
88,33078,-38.2814468,141.6141043,Bolwarra Primary School,CAT 3,Bolwarra
89,375054,-38.2107592,145.9599162,Bona Vista Primary School,CAT 3,Bona Vista
90,373822,-38.3815387,146.2725336,Boolarra Kindergarten,CAT 3,Boolarra
91,373822,-38.3814469,146.2706253,Boolarra Primary School,CAT 3,Boolarra
92,326947,-36.108895,143.727716,Boort District P-12 School,CAT 3,Boort
93,327069,-36.1164205,143.7269535,Boort Preschool,CAT 3,Boort
94,403907,-36.8045058,144.356538,Brady Bunch Early Learning Centre Bendigo,CAT 3,Strathfieldsaye
95,30581,-37.3646362,144.5758947,Braemar College - Braemar College - Mt Macedon Campus,CAT 2,Woodend
96,89275,-37.3459139,144.5655454,Braemar College - Braemar College - Woodend Campus,CAT 3,Woodend
97,191889,-37.1916832,142.6090393,Brauer Secondary College - Dunkeld Annexe,CAT 2,Dunkeld
98,197007,-36.138181,146.8988388,Bright beginnings learning centre wodonga Pty Ltd,CAT 3,Wodonga
99,397955,-36.7309972,146.9611959,Bright P-12 College,CAT 3,Bright
100,426755,-36.7371405,146.9585639,Bright P-12 College TheirCare,CAT 3,Bright
101,255504,-37.6771654,145.1277723,Brightminds Early Learning,CAT 3,Diamond Creek
102,447251,-37.5518191,143.8952511,Brown Hill Kindergarten,CAT 3,Brown Hill
103,263004,-37.7056572,147.8319812,Bruthen Boorai Uniting Early Learning,CAT 3,Bruthen
104,263004,-37.7038021,147.8330051,Bruthen Primary School,CAT 3,Bruthen
105,263004,-37.7056572,147.8319812,Bruthen Uniting Kindergarten,CAT 3,Bruthen
106,156261,-37.3639388,143.174975,Buangor Primary School,CAT 3,Buangor
107,156261,-37.3639388,143.174975,Buangor Primary School Council,CAT 3,Buangor
108,124541,-37.4973588,148.1810669,Buchan Primary School,CAT 3,Buchan
109,124541,-37.4959521,148.1747251,Buchan Uniting Early Learning,CAT 3,Buchan
110,67196,-37.353237,144.5327721,Bug-A-Lugs OSHC,CAT 3,Woodend
111,114305,-37.4054481,144.2184977,Bullarto Primary School,CAT 1,Bullarto
112,451078,-37.6705874,143.9293559,Buninyong Primary School - Scotsburn Primary School,CAT 3,Scotsburn
113,366164,-38.0998264,145.7130477,Bunyip OSHClub,CAT 3,Bunyip
114,366164,-38.0998264,145.7130477,Bunyip Primary School,CAT 3,Bunyip
115,265321,-37.739593,145.268782,Burch Family Memorial Preschool,CAT 3,Wonga Park
116,246707,-37.074658,144.204502,Busy Bees at Castlemaine,CAT 3,Castlemaine
117,94155,-37.421252,145.7096965,Buxton Primary School,CAT 3,Buxton
118,94155,-37.421252,145.7096965,Buxton Primary School OSHC,CAT 3,Buxton
119,183543,-36.7329098,144.2501466,California Gully Primary School,CAT 3,California Gully
120,296081,-38.2747026,145.0314953,Camp Australia - Balcombe Grammar OSHC,CAT 3,Mount Martha
121,324158,-38.1775753,145.1657428,Camp Australia - Bayside Christian College OSHC,CAT 3,Langwarrin South
122,207614,-37.9190864,145.3458862,Camp Australia - Belgrave Heights Christian School OSHC,CAT 3,Belgrave Heights
123,183543,-36.7329098,144.2501466,Camp Australia - California Gully Primary School OSHC,CAT 3,California Gully
124,322830,-38.3601878,145.2014266,Camp Australia - Crib Point Primary School OSHC,CAT 3,Crib Point
125,247554,-37.6715028,145.1523772,Camp Australia - Diamond Creek Primary School OSHC,CAT 3,Diamond Creek
126,322933,-38.115678,145.1806027,Camp Australia - Flinders Christian College OSHC,CAT 3,Carrum Downs
127,109467,-37.6574079,145.5165918,Camp Australia - Healesville Primary School OSHC,CAT 3,Healesville
128,420865,-36.7699933,144.3100691,Camp Australia - Kennington Primary School OSHC,CAT 3,Kennington
129,347249,-37.9107337,145.3664202,Camp Australia - Selby Primary School OSHC,CAT 2,Selby
130,183546,-36.7613413,144.2482234,Camp Australia - Specimen Hill Primary School OSHC,CAT 3,Golden Square
131,411922,-36.7935281,144.2839586,Camp Australia - Spring Gully Primary School OSHC,CAT 3,Spring Gully
132,294507,-38.19713,145.1017576,Camp Australia - St Thomas More Primary School OSHC,CAT 3,Mount Eliza
133,324167,-38.2605591,145.1654714,Camp Australia - Tyabb Primary School OSHC,CAT 3,Tyabb
134,247557,-37.6685936,145.1822946,Camp Australia - Wattle Glen Primary School OSHC,CAT 3,Wattle Glen
135,243049,-37.0930164,144.2046752,Campbells Creek Primary School,CAT 3,Campbells Creek
136,184855,-37.1518671,144.1657556,Campbells Creek Primary School - Guildford Campus,CAT 3,Guildford
137,161638,-37.5700097,149.1538681,Cann River P-12 College,CAT 2,Cann River
138,295057,-37.9523476,147.6733757,Carey Camp Toonallook,CAT 3,Banksia Peninsula
139,444497,-37.0521562,143.8199095,Carisbrook Primary School,CAT 3,Carisbrook
140,174495,-38.5639178,143.3952149,Carlisle River Primary School,CAT 3,Carlisle River
141,259448,-37.0437671,144.2270598,Castlemaine Secondary College - Junior Campus,CAT 3,Castlemaine
142,243047,-37.0772095,144.2095138,Castlemaine Secondary College - Senior Campus,CAT 3,Castlemaine
143,205128,-37.081546,144.1571904,Castlemaine Steiner Kindergarten,CAT 3,Muckleford
144,205128,-37.0815461,144.1571904,Castlemaine Steiner School & Kindergarten - Castlemaine Steiner School,CAT 3,Muckleford
145,420868,-36.772618,144.3561788,Catherine McAuley College - Catherine McAuley College Coolock Campus,CAT 3,Bendigo/Junortoun
146,259372,-37.7103024,145.1451182,Catholic Ladies' College Ltd,CAT 3,Eltham
147,269965,-37.7962234,145.6512724,Caulfield Grammar School - Yarra Junction Campus,CAT 3,Yarra Junction
148,450593,-37.5292409,142.0396654,Cavendish Kindergarten,CAT 3,Cavendish
149,450593,-37.5308353,142.0407125,Cavendish Primary School,CAT 3,Cavendish
150,431467,-36.8953057,147.0646733,Chabad Youth Holiday Program - Harrietville,CAT 2,Harrietville
151,138354,-37.860675,142.6435167,Chatsworth Occasional Child Care,CAT 3,Chatsworth
152,152384,-37.0823876,144.26111,Chewton Primary School,CAT 2,Chewton
153,165395,-37.7924866,145.3883113,Children's House of Early Learning,CAT 3,Mount Evelyn
154,220515,-36.1470479,146.6043233,Chiltern Primary School,CAT 3,Chiltern
155,220515,-36.1470479,146.6043233,Chiltern Primary School Outside of Hours Care,CAT 3,Chiltern
156,109448,-37.6531313,145.3044055,Christmas Hills Primary School,CAT 1,Christmas Hills
157,87539,-36.358375,146.3261259,Christopher Robin Kindergarten,CAT 3,Wangaratta
158,131773,-37.6055601,145.488711,Chum Creek Primary School,CAT 0,Chum Creek
159,131773,-37.6055601,145.488711,Chum Creek Primary School OSHC,CAT 0,Chum Creek
160,165670,-37.7647872,145.3806833,Cire Children’s Services Mount Evelyn,CAT 3,Mount Evelyn
161,289169,-37.7861991,145.6180072,Cire Children's Centre Yarra Junction,CAT 3,Yarra Junction
162,208232,-37.757157,145.343977,Cire Community School | Cire Training - Administration Centre,CAT 3,Lilydale
163,345371,-37.8562979,145.4517658,Cire Community School | Cire Training - Cire Community School - Monbulk,CAT 2,Monbulk
164,165393,-37.772817,145.382662,Cire Community School | Cire Training - Mt Evelyn Campus,CAT 3,Mount Evelyn
165,289169,-37.7861991,145.6180072,Cire Community School | Cire Training - Yarra Junction campus,CAT 3,Yarra Junction
166,262990,-37.7020424,147.659928,Clifton Creek Primary School,CAT 2,Clifton Creek
167,447110,-37.5431455,143.8954455,Club 1878,CAT 2,Nerrina
168,323697,-37.9399389,145.49249,Cockatoo Community Childcare Centre,CAT 3,Cockatoo
169,323770,-37.935102,145.4839862,Cockatoo Kinder,CAT 3,Cockatoo
170,323697,-37.939332,145.495676,Cockatoo Primary School,CAT 2,Cockatoo
171,323697,-37.939332,145.495676,Cockatoo Primary School Council OSHC,CAT 2,Cockatoo
172,130786,-37.6137424,144.4783846,Coimadai OSHClub,CAT 3,Coimadai
173,130786,-37.6137424,144.4783846,Coimadai Primary School,CAT 3,Coimadai
174,183546,-36.7618266,144.2463148,Community Kids Golden Square Early Education Centre,CAT 3,Golden Square
175,443623,-37.0495344,142.8224339,Concongella Primary School,CAT 3,Concongella
176,314253,-38.1490553,145.243874,Cranbourne South Primary School,CAT 3,Cranbourne South
177,314255,-38.1709853,145.2411761,Cranbourne South PS TheirCare,CAT 3,Cranbourne South
178,446782,-37.4229491,143.8908365,Creswick & District Preschool,CAT 3,Creswick
179,452106,-37.4086229,143.8912303,Creswick North OSHC,CAT 3,Creswick
180,452106,-37.4086229,143.8912303,Creswick North Primary School,CAT 3,Creswick
181,322831,-38.3673131,145.2035469,Crib Point Preschool,CAT 3,Hmas Cerberus
182,322830,-38.3601878,145.2014266,Crib Point Primary School,CAT 3,Crib Point
183,151505,-37.7896607,145.5212066,Croydon Community School - Woori Yallock Farm School Campus,CAT 3,Woori Yallock
184,448709,-37.6115613,143.8685497,Damascus College,CAT 3,Mount Clear
185,156719,-37.9128998,145.3266475,Dandenong Ranges Child Care Centre,CAT 3,Upwey
186,394451,-37.959736,145.3883602,Dandenong Ranges Steiner School - Crystal Brook Campus,CAT 3,Emerald
187,158599,-37.9209768,145.4066422,Dandenong Ranges Steiner School - School Road Campus,CAT 3,Menzies Creek
188,158599,-37.9209768,145.4066422,Dandenong Ranges Steiner School Kindergarten,CAT 3,Menzies Creek
189,394451,-37.959736,145.3883602,Dandenong Ranges Steiner School Outside Hours School Care,CAT 3,Emerald
190,123117,-37.4003074,144.8936518,Darraweit Guim Primary School,CAT 3,Darraweit Guim
191,135349,-37.92058160000001,141.2790965,Dartmoor Children's Centre,CAT 3,Dartmoor
192,176814,-37.9235936,141.2762394,Dartmoor Primary School,CAT 3,Dartmoor
193,67161,-37.3423505,144.1380118,Daylesford Community Child Care,CAT 3,Daylesford
194,67164,-37.3436727,144.1661641,Daylesford Dharma School,CAT 3,Daylesford
195,67162,-37.3434716,144.1413039,Daylesford Preschool,CAT 3,Daylesford
196,67162,-37.3450689,144.1412599,Daylesford Primary School,CAT 3,Daylesford
197,89239,-37.3360085,144.1524938,Daylesford Secondary College,CAT 3,Daylesford
198,169046,-38.3996146,143.8853378,Deans Marsh Primary School,CAT 3,Deans Marsh
199,403204,-36.4693575,147.0148745,Dederang Primary School,CAT 3,Dederang
200,403204,-36.4693575,147.0148745,Dederang Primary School Care,CAT 3,Dederang
201,403204,-36.4693575,147.0148745,Dederang Primary School OSHC,CAT 3,Dederang
202,139193,-37.9401706,143.2170531,Derrinallum P-12 College,CAT 3,Derrinallum
203,247554,-37.674328,145.1556774,Diamond Creek Community Centre,CAT 3,Diamond Creek
204,247555,-37.6735451,145.1650588,Diamond Creek East Primary School,CAT 3,Diamond Creek
205,247555,-37.6735451,145.1650588,Diamond Creek East PS TheirCare,CAT 3,Diamond Creek
206,258899,-37.6775754,145.1632219,Diamond Creek Memorial Kindergarten,CAT 3,Diamond Creek
207,247554,-37.6724621,145.1493731,Diamond Creek Memorial Preschool,CAT 3,Diamond Creek
208,247554,-37.6715028,145.1523772,Diamond Creek Primary School,CAT 3,Diamond Creek
209,247555,-37.6725506,145.1663948,Diamond Valley College,CAT 3,Diamond Creek
210,252772,-37.688262,145.1100526,Diamond Valley SDS TheirCare,CAT 3,Greensborough
211,252772,-37.688262,145.1100526,Diamond Valley Special Developmental School,CAT 3,Greensborough
212,338655,-36.4491659,142.0368718,Dimboola Memorial Secondary College,CAT 3,Dimboola
213,277995,-37.7599495,145.5860176,Don Valley Primary School,CAT 3,Don Valley
214,277995,-37.7599495,145.5860176,Don Valley Primary School OSHC,CAT 3,Don Valley
215,276720,-37.7727895,145.1937127,Donvale Christian College,CAT 3,Donvale
216,276723,-37.7683515,145.2340492,Donvale Christian College - Donvale Christian College Hall Road Campus,CAT 3,Warrandyte South
217,276720,-37.7727895,145.1937127,Donvale Christian College OSHClub,CAT 3,Donvale
218,156670,-37.6061979,145.1463626,Doreen Primary School,CAT 3,Doreen
219,304148,-38.3432107,145.0118828,Dromana Secondary College,CAT 3,Dromana
220,369595,-38.2459914,145.8405004,Drouin Secondary College - Blackwood Annexe,CAT 2,Hallora
221,448245,-37.6391603,142.34001,Dunkeld Consolidated School,CAT 3,Dunkeld
222,154618,-37.6507025,142.3452441,Dunkeld Kindergarten,CAT 3,Dunkeld
223,437460,-36.8601395,143.7296417,Dunolly Kindergarten,CAT 3,Dunolly
224,431725,-36.8511513,143.7334674,Dunolly Primary School,CAT 3,Dunolly
225,431725,-36.8511513,143.7334674,Dunolly PS TheirCare,CAT 3,Dunolly
226,414162,-36.707409,144.23727,Eaglehawk North Primary School,CAT 3,Eaglehawk
227,410425,-36.7200835,144.2629975,Eaglehawk Secondary College,CAT 3,Eaglehawk
228,414162,-36.7077415,144.2390287,Early Learning Victoria Nyernilang Lar,CAT 3,Sailors Gully
229,167663,-38.3801371,142.912512,Ecklin Hall,CAT 3,Ecklin South
230,207599,-37.7838388,145.3525525,Edinburgh College,CAT 3,Lilydale
231,207599,-37.7850009,145.3518536,Edinburgh College - Edinburgh College (Primary Campus),CAT 3,Lilydale
232,207601,-37.796471,145.3583076,Edinburgh Early Learning Centre,CAT 3,Lilydale
233,95769,-37.1048412,144.3324877,Elphinstone Primary School,CAT 3,Elphinstone
234,252503,-37.6979327,145.1955011,Eltham College - Kangaroo Ground,CAT 3,Kangaroo Ground
235,252503,-37.7014263,145.1926276,Eltham College - Main Campus,CAT 3,Research
236,252503,-37.7014263,145.1926276,Eltham College Early Learning Centre,CAT 3,Research
237,252503,-37.7014263,145.1926276,Eltham College OSHC,CAT 3,Research
